date,value
1981-01-02,1.534100
1981-01-05,1.541800
1981-01-06,1.526400
1981-01-07,1.526400
1981-01-08,1.526400
1981-01-09,1.537100
1981-01-12,1.537100
1981-01-13,1.544900
1981-01-14,1.544900
1981-01-15,1.544900
1981-01-16,1.555700
1981-01-19,1.555700
1981-01-20,1.555700
1981-01-21,1.555700
1981-01-22,1.551000
1981-01-23,1.551000
1981-01-26,1.563400
1981-01-27,1.575900
1981-01-28,1.582200
1981-01-29,1.588600
1981-01-30,1.588600
1981-02-02,1.610800
1981-02-03,1.610800
1981-02-04,1.602800
1981-02-05,1.602800
1981-02-06,1.602800
1981-02-09,1.605900
1981-02-10,1.605900
1981-02-11,1.605900
1981-02-13,1.628500
1981-02-17,1.657900
1981-02-18,1.629800
1981-02-19,1.629800
1981-02-20,1.602100
1981-02-23,1.590900
1981-02-24,1.609900
1981-02-25,1.603500
1981-02-26,1.617900
1981-02-27,1.617900
1981-03-02,1.629300
1981-03-03,1.645600
1981-03-04,1.637400
1981-03-05,1.645600
1981-03-06,1.645600
1981-03-09,1.645600
1981-03-10,1.640700
1981-03-11,1.640700
1981-03-12,1.640700
1981-03-13,1.640700
1981-03-16,1.640200
1981-03-17,1.630900
1981-03-18,1.622700
1981-03-19,1.604900
1981-03-20,1.612900
1981-03-23,1.612900
1981-03-24,1.620900
1981-03-25,1.620900
1981-03-26,1.620900
1981-03-27,1.637200
1981-03-30,1.637200
1981-03-31,1.616500
1981-04-01,1.633700
1981-04-02,1.633700
1981-04-03,1.641800
1981-04-06,1.650000
1981-04-07,1.659900
1981-04-08,1.648300
1981-04-09,1.648300
1981-04-10,1.656500
1981-04-13,1.656500
1981-04-14,1.668200
1981-04-15,1.668200
1981-04-16,1.679800
1981-04-17,1.679800
1981-04-20,1.679800
1981-04-21,1.679800
1981-04-22,1.679800
1981-04-23,1.679800
1981-04-24,1.679800
1981-04-27,1.679800
1981-04-28,1.679800
1981-04-29,1.679800
1981-04-30,1.688200
1981-05-01,1.688200
1981-05-04,1.688200
1981-05-05,1.708500
1981-05-06,1.717000
1981-05-07,1.717000
1981-05-08,1.717000
1981-05-11,1.717000
1981-05-12,1.727300
1981-05-13,1.727300
1981-05-14,1.735900
1981-05-15,1.735900
1981-05-18,1.735900
1981-05-19,1.735900
1981-05-20,1.735900
1981-05-21,1.727200
1981-05-22,1.742900
1981-05-26,1.739200
1981-05-27,1.748000
1981-05-28,1.748000
