date,value
1971-01-04,357.730000
1971-01-05,357.810000
1971-01-06,357.860000
1971-01-07,357.870000
1971-01-08,357.820000
1971-01-11,357.950000
1971-01-12,358.060000
1971-01-13,358.440000
1971-01-14,358.400000
1971-01-15,358.400000
1971-01-18,358.290000
1971-01-19,358.350000
1971-01-20,358.400000
1971-01-21,358.270000
1971-01-22,357.900000
1971-01-25,357.730000
1971-01-26,357.780000
1971-01-27,357.790000
1971-01-28,357.830000
1971-01-29,357.720000
1971-02-01,357.670000
1971-02-02,357.550000
1971-02-03,357.540000
1971-02-04,357.510000
1971-02-05,357.530000
1971-02-08,357.490000
1971-02-09,357.500000
1971-02-10,357.500000
1971-02-11,357.500000
1971-02-16,357.530000
1971-02-17,357.530000
1971-02-18,357.530000
1971-02-19,357.560000
1971-02-22,357.600000
1971-02-23,357.550000
1971-02-24,357.600000
1971-02-25,357.560000
1971-02-26,357.560000
1971-03-01,357.630000
1971-03-02,357.560000
1971-03-03,357.490000
1971-03-04,357.450000
1971-03-05,357.590000
1971-03-08,357.550000
1971-03-09,357.460000
1971-03-10,357.590000
1971-03-11,357.560000
1971-03-12,357.580000
1971-03-15,357.540000
1971-03-16,357.490000
1971-03-17,357.530000
1971-03-18,357.560000
1971-03-19,357.560000
1971-03-22,357.440000
1971-03-23,357.530000
1971-03-24,357.530000
1971-03-25,357.470000
1971-03-26,357.470000
1971-03-29,357.440000
1971-03-30,357.490000
1971-03-31,357.420000
1971-04-01,357.490000
1971-04-02,357.530000
1971-04-05,357.500000
1971-04-06,357.460000
1971-04-07,357.550000
1971-04-08,357.550000
1971-04-09,357.500000
1971-04-12,357.500000
1971-04-13,357.620000
1971-04-14,357.580000
1971-04-15,357.500000
1971-04-16,357.540000
1971-04-19,357.490000
1971-04-20,357.490000
1971-04-21,357.490000
1971-04-22,357.490000
1971-04-23,357.490000
1971-04-26,357.500000
1971-04-27,357.490000
1971-04-28,357.500000
1971-04-29,357.410000
1971-04-30,357.400000
1971-05-03,357.410000
1971-05-04,357.400000
1971-05-05,357.400000
1971-05-06,357.410000
1971-05-07,357.410000
1971-05-10,357.140000
1971-05-11,357.440000
1971-05-12,357.530000
1971-05-13,357.490000
1971-05-14,357.490000
1971-05-17,357.400000
1971-05-18,357.440000
1971-05-19,357.400000
1971-05-20,357.460000
1971-05-21,357.400000
1971-05-24,357.400000
1971-05-25,357.400000
1971-05-26,357.440000
1971-05-27,357.400000
1971-05-28,357.400000
1971-06-01,357.460000
1971-06-02,357.400000
1971-06-03,357.460000
1971-06-04,357.400000
1971-06-07,357.400000
1971-06-08,357.400000
1971-06-09,357.400000
1971-06-10,357.400000
1971-06-11,357.400000
1971-06-14,357.400000
1971-06-15,357.460000
1971-06-16,357.460000
1971-06-17,357.460000
1971-06-18,357.400000
1971-06-21,357.400000
1971-06-22,357.400000
