date,value
2006-01-02,101.415500
2006-01-03,100.755800
2006-01-04,100.228800
2006-01-05,100.299200
2006-01-06,100.024100
2006-01-09,100.179400
2006-01-10,100.143600
2006-01-11,99.871000
2006-01-12,100.064300
2006-01-13,99.967500
2006-01-16,99.971500
2006-01-17,100.244700
2006-01-18,100.408500
2006-01-19,100.186200
2006-01-20,99.901700
2006-01-23,99.378300
2006-01-24,99.343400
2006-01-25,99.348000
2006-01-26,99.479800
2006-01-27,99.643300
2006-01-30,99.714400
2006-01-31,99.431100
2006-02-01,99.613200
2006-02-02,99.791600
2006-02-03,100.118000
2006-02-06,100.137200
2006-02-07,100.175900
2006-02-08,100.487900
2006-02-09,100.211700
2006-02-10,100.322000
2006-02-13,100.395500
2006-02-14,100.398700
2006-02-15,100.448900
2006-02-16,100.518300
2006-02-17,100.340400
2006-02-20,100.344700
2006-02-21,100.234600
2006-02-22,100.387900
2006-02-23,100.195600
2006-02-24,100.259400
2006-02-27,100.072400
2006-02-28,99.769500
2006-03-01,99.835500
2006-03-02,99.596900
2006-03-03,99.702400
2006-03-06,99.983400
2006-03-07,100.564000
2006-03-08,100.856500
2006-03-09,100.771800
2006-03-10,100.956600
2006-03-13,100.856300
2006-03-14,100.312000
2006-03-15,100.212100
2006-03-16,99.904900
2006-03-17,99.861400
2006-03-20,100.049100
2006-03-21,100.471600
2006-03-22,100.496000
2006-03-23,100.825600
2006-03-24,100.777300
2006-03-27,100.835900
2006-03-28,100.799500
2006-03-29,101.047400
2006-03-30,100.569800
2006-03-31,100.560000
2006-04-03,100.620400
2006-04-04,100.131900
2006-04-05,100.079200
2006-04-06,100.157800
2006-04-07,100.418700
2006-04-10,100.409100
2006-04-11,100.290300
2006-04-12,100.358900
2006-04-13,100.475900
2006-04-14,100.469700
2006-04-17,99.871900
2006-04-18,99.674700
2006-04-19,99.346700
2006-04-20,99.497400
2006-04-21,99.434500
2006-04-24,99.117000
2006-04-25,98.968700
2006-04-26,98.890700
2006-04-27,98.514900
2006-04-28,98.141200
2006-05-01,97.908500
2006-05-02,97.657100
2006-05-03,97.557200
2006-05-04,97.487800
2006-05-05,97.258500
2006-05-08,97.194500
2006-05-09,96.957800
2006-05-10,96.639100
2006-05-11,96.538300
2006-05-12,96.878800
2006-05-15,97.358800
2006-05-16,97.195900
2006-05-17,97.472500
2006-05-18,97.703300
2006-05-19,97.933000
2006-05-22,97.937700
2006-05-23,97.704500
2006-05-24,98.393600
2006-05-25,97.842300
2006-05-26,97.899500
2006-05-29,97.893600
2006-05-30,97.588000
2006-05-31,97.770500
2006-06-01,97.772600
2006-06-02,97.554400
2006-06-05,97.368100
2006-06-06,98.144900
2006-06-07,98.164100
2006-06-08,98.931300
2006-06-09,98.547100
2006-06-12,98.549400
2006-06-13,98.920100
2006-06-14,98.833800
2006-06-15,98.884600
2006-06-16,98.912700
2006-06-19,99.145000
2006-06-20,99.011700
2006-06-21,98.554400
2006-06-22,99.085600
2006-06-23,99.421600
2006-06-26,99.363400
2006-06-27,99.219000
2006-06-28,99.392000
2006-06-29,99.215800
2006-06-30,98.248300
2006-07-03,98.037100
2006-07-04,98.022100
2006-07-05,98.308000
2006-07-06,98.138000
2006-07-07,97.750800
2006-07-10,97.981300
2006-07-11,98.213200
2006-07-12,98.520200
2006-07-13,98.558300
2006-07-14,98.681400
2006-07-17,99.076700
2006-07-18,99.134100
2006-07-19,98.926200
2006-07-20,98.601400
2006-07-21,98.522100
2006-07-24,98.779500
2006-07-25,98.938800
2006-07-26,98.742000
2006-07-27,98.228300
2006-07-28,98.053900
2006-07-31,97.999600
2006-08-01,98.171500
2006-08-02,97.943200
2006-08-03,98.069400
2006-08-04,97.600500
2006-08-07,97.508800
2006-08-08,97.652400
2006-08-09,97.440200
2006-08-10,97.888700
2006-08-11,97.786300
2006-08-14,97.967700
2006-08-15,97.804300
2006-08-16,97.389400
2006-08-17,97.348600
2006-08-18,97.757700
2006-08-21,97.385600
2006-08-22,97.607900
2006-08-23,97.573100
2006-08-24,97.793900
2006-08-25,97.882700
2006-08-28,97.846700
2006-08-29,97.774800
2006-08-30,97.579200
2006-08-31,97.644000
2006-09-01,97.508400
2006-09-04,97.498100
2006-09-05,97.439200
2006-09-06,97.608700
2006-09-07,97.810800
2006-09-08,98.211900
2006-09-11,98.384500
2006-09-12,98.278100
2006-09-13,98.177500
2006-09-14,98.008800
2006-09-15,98.210400
2006-09-18,98.133200
2006-09-19,98.170300
2006-09-20,98.155600
2006-09-21,97.945800
2006-09-22,97.866700
2006-09-25,97.990900
2006-09-26,98.055500
2006-09-27,98.010700
2006-09-28,98.038100
2006-09-29,98.105400
2006-10-02,97.924700
2006-10-03,98.126700
2006-10-04,98.368200
2006-10-05,98.277600
2006-10-06,98.561900
2006-10-09,98.570200
2006-10-10,98.912500
2006-10-11,98.914600
2006-10-12,98.831000
2006-10-13,98.800200
2006-10-16,98.710000
2006-10-17,98.535400
2006-10-18,98.616400
2006-10-19,98.289700
2006-10-20,98.162900
2006-10-23,98.448300
2006-10-24,98.349000
2006-10-25,98.205700
2006-10-26,97.890700
2006-10-27,97.491400
2006-10-30,97.567200
2006-10-31,97.390100
2006-11-01,97.494900
2006-11-02,97.655600
2006-11-03,97.720900
2006-11-06,97.806000
2006-11-07,97.445300
2006-11-08,97.580000
2006-11-09,97.504100
2006-11-10,97.463800
2006-11-13,97.790400
2006-11-14,97.747500
2006-11-15,97.835900
2006-11-16,97.809800
2006-11-17,97.985500
2006-11-20,98.025400
2006-11-21,98.021500
2006-11-22,97.531500
2006-11-23,97.531400
2006-11-24,97.065700
2006-11-27,96.998600
2006-11-28,96.842800
2006-11-29,96.857700
2006-11-30,96.577900
2006-12-01,96.458500
2006-12-04,96.431900
2006-12-05,96.208200
2006-12-06,96.283900
2006-12-07,96.320700
2006-12-08,96.612300
2006-12-11,96.664600
2006-12-12,96.711900
2006-12-13,96.729600
2006-12-14,96.794600
2006-12-15,96.985700
2006-12-18,97.155900
2006-12-19,96.931300
2006-12-20,96.776200
2006-12-21,96.914800
2006-12-22,97.111300
2006-12-25,97.122100
2006-12-26,97.178600
2006-12-27,97.207600
2006-12-28,97.065600
2006-12-29,97.031200
2007-01-01,97.032300
2007-01-03,97.128100
2007-01-04,97.525100
2007-01-05,97.780100
2007-01-08,97.788000
2007-01-09,97.964200
2007-01-10,98.094300
2007-01-11,98.084500
2007-01-12,97.921000
2007-01-15,97.920100
2007-01-16,97.981600
2007-01-17,97.750900
2007-01-18,97.828600
2007-01-19,97.686800
2007-01-22,97.827000
2007-01-23,97.811700
2007-01-24,97.908000
2007-01-25,97.839600
2007-01-26,98.149100
2007-01-29,98.206600
2007-01-30,98.151500
2007-01-31,97.964000
2007-02-01,97.710100
2007-02-02,97.974300
2007-02-05,97.870000
2007-02-06,97.735700
2007-02-07,97.723900
2007-02-08,97.816900
2007-02-09,97.707600
2007-02-12,97.940900
2007-02-13,97.706300
2007-02-14,97.277900
2007-02-15,97.158800
2007-02-16,97.164000
2007-02-19,97.154500
2007-02-20,97.321000
2007-02-21,97.270000
2007-02-22,97.266000
2007-02-23,97.175600
2007-02-26,97.228100
2007-02-27,97.088300
2007-02-28,97.238600
2007-03-01,97.335800
2007-03-02,97.369100
2007-03-05,97.671600
2007-03-06,97.512300
2007-03-07,97.455800
2007-03-08,97.573100
2007-03-09,97.455900
2007-03-12,97.301300
2007-03-13,97.220300
2007-03-14,97.275900
2007-03-15,97.247600
2007-03-16,97.040700
2007-03-19,97.106200
2007-03-20,96.798500
2007-03-21,96.619500
2007-03-22,96.389300
2007-03-23,96.566200
2007-03-26,96.549300
2007-03-27,96.455800
2007-03-28,96.489400
2007-03-29,96.506700
2007-03-30,96.318300
2007-04-02,96.317500
2007-04-03,96.377400
2007-04-04,96.364600
2007-04-05,96.118800
2007-04-06,96.252600
2007-04-09,96.293000
2007-04-10,96.117900
2007-04-11,96.029300
2007-04-12,95.799900
2007-04-13,95.711000
2007-04-16,95.553800
2007-04-17,95.383200
2007-04-18,95.310900
2007-04-19,95.271200
2007-04-20,95.169200
2007-04-23,95.183300
2007-04-24,95.160800
2007-04-25,94.849700
2007-04-26,95.165300
2007-04-27,95.010300
2007-04-30,94.836500
2007-05-01,95.003700
2007-05-02,95.035200
2007-05-03,95.016700
2007-05-04,94.911800
2007-05-07,94.691400
2007-05-08,94.864800
2007-05-09,94.793300
2007-05-10,94.950600
2007-05-11,95.003500
2007-05-14,94.826700
2007-05-15,94.557400
2007-05-16,94.814300
2007-05-17,94.833900
2007-05-18,94.657300
2007-05-21,94.702600
2007-05-22,94.575300
2007-05-23,94.455700
2007-05-24,94.702500
2007-05-25,94.502200
2007-05-28,94.495900
2007-05-29,94.353300
2007-05-30,94.549000
2007-05-31,94.321500
2007-06-01,94.132000
2007-06-04,93.996900
2007-06-05,93.998600
2007-06-06,94.121700
2007-06-07,94.353700
2007-06-08,94.759900
2007-06-11,94.657600
2007-06-12,94.699100
2007-06-13,94.901100
2007-06-14,94.902900
2007-06-15,94.622800
2007-06-18,94.547500
2007-06-19,94.322700
2007-06-20,94.361800
2007-06-21,94.607300
2007-06-22,94.437100
2007-06-25,94.510500
2007-06-26,94.467800
2007-06-27,94.563300
2007-06-28,94.239500
2007-06-29,94.139300
2007-07-02,93.634000
2007-07-03,93.697000
2007-07-04,93.696500
2007-07-05,93.765300
2007-07-06,93.575900
2007-07-09,93.551900
2007-07-10,93.333900
2007-07-11,93.308900
2007-07-12,93.119800
2007-07-13,93.013300
2007-07-16,92.909400
2007-07-17,92.909500
2007-07-18,92.795900
2007-07-19,92.733200
2007-07-20,92.717900
2007-07-23,92.658500
2007-07-24,92.505000
2007-07-25,92.918900
2007-07-26,93.118600
2007-07-27,93.548500
2007-07-30,93.591800
2007-07-31,93.426400
2007-08-01,93.401100
2007-08-02,93.303800
2007-08-03,93.103900
2007-08-06,93.111200
2007-08-07,93.317100
2007-08-08,93.098900
2007-08-09,93.441000
2007-08-10,93.521400
2007-08-13,93.603200
2007-08-14,94.041600
2007-08-15,94.501400
2007-08-16,94.905500
2007-08-17,94.319000
2007-08-20,94.213800
2007-08-21,94.267600
2007-08-22,94.099800
2007-08-23,93.982700
2007-08-24,93.686300
2007-08-27,93.610900
2007-08-28,93.839400
2007-08-29,93.717400
2007-08-30,93.732400
2007-08-31,93.667400
2007-09-03,93.669100
2007-09-04,93.643300
2007-09-05,93.545300
2007-09-06,93.446800
2007-09-07,93.293900
2007-09-10,93.234900
2007-09-11,92.924400
2007-09-12,92.638600
2007-09-13,92.617200
2007-09-14,92.708300
2007-09-17,92.823000
2007-09-18,92.658400
2007-09-19,92.153400
2007-09-20,91.421200
2007-09-21,91.485400
2007-09-24,91.401700
2007-09-25,91.339200
2007-09-26,91.433500
2007-09-27,91.349700
2007-09-28,90.944600
2007-10-01,90.880100
2007-10-02,91.120000
2007-10-03,91.103800
2007-10-04,91.163200
2007-10-05,90.739300
2007-10-08,90.748000
2007-10-09,90.860900
2007-10-10,90.715400
2007-10-11,90.490100
2007-10-12,90.594500
2007-10-15,90.538700
2007-10-16,90.712300
2007-10-17,90.515000
2007-10-18,90.308400
2007-10-19,90.101400
2007-10-22,90.677700
2007-10-23,90.189900
2007-10-24,90.226200
2007-10-25,89.992500
2007-10-26,89.650800
2007-10-29,89.411800
2007-10-30,89.325200
2007-10-31,89.138900
2007-11-01,89.162800
2007-11-02,88.892400
2007-11-05,88.885100
2007-11-06,88.493800
2007-11-07,88.063100
2007-11-08,88.263100
2007-11-09,88.461500
2007-11-12,88.465000
2007-11-13,89.101600
2007-11-14,88.967100
2007-11-15,89.441300
2007-11-16,89.318200
2007-11-19,89.526200
2007-11-20,89.262200
2007-11-21,89.335200
2007-11-22,89.326900
2007-11-23,89.238400
2007-11-26,89.145000
2007-11-27,89.408200
2007-11-28,89.419500
2007-11-29,89.368100
2007-11-30,89.621200
2007-12-03,89.640300
2007-12-04,89.667200
2007-12-05,89.875100
2007-12-06,89.926800
2007-12-07,89.740000
2007-12-10,89.681100
2007-12-11,89.717600
2007-12-12,89.734900
2007-12-13,90.137400
2007-12-14,90.434500
2007-12-17,90.536300
2007-12-18,90.560200
2007-12-19,90.614700
2007-12-20,90.469500
2007-12-21,90.367200
2007-12-24,90.178800
2007-12-25,90.178600
2007-12-26,89.922600
2007-12-27,89.684000
2007-12-28,89.406900
2007-12-31,89.630400
2008-01-01,89.629700
2008-01-02,89.351400
2008-01-03,89.231000
2008-01-04,89.246700
2008-01-07,89.571800
2008-01-08,89.339800
2008-01-09,89.680700
2008-01-10,89.622600
2008-01-11,89.521500
2008-01-14,89.274900
2008-01-15,89.155500
2008-01-16,89.670100
2008-01-17,89.648400
2008-01-18,89.899300
2008-01-21,89.926500
2008-01-22,89.840000
2008-01-23,89.913800
2008-01-24,89.203000
2008-01-25,89.218400
2008-01-28,88.955500
2008-01-29,88.834200
2008-01-30,88.744200
2008-01-31,88.654700
2008-02-01,88.482400
2008-02-04,88.478800
2008-02-05,89.076000
2008-02-06,88.998700
2008-02-07,89.422100
2008-02-08,89.222600
2008-02-11,89.214900
2008-02-12,88.953900
2008-02-13,89.138200
2008-02-14,88.905500
2008-02-15,88.900600
2008-02-18,88.900400
2008-02-19,88.962600
2008-02-20,89.257200
2008-02-21,88.716000
2008-02-22,88.708200
2008-02-25,88.537300
2008-02-26,88.099800
2008-02-27,87.335300
2008-02-28,87.036300
2008-02-29,87.165400
2008-03-03,87.238100
2008-03-04,87.303900
2008-03-05,87.134700
2008-03-06,86.910500
2008-03-07,87.125800
2008-03-10,87.145200
2008-03-11,87.176300
2008-03-12,86.728000
2008-03-13,86.389100
2008-03-14,86.430100
2008-03-17,86.341700
2008-03-18,86.119100
2008-03-19,86.575500
2008-03-20,87.329300
2008-03-21,87.211100
2008-03-24,87.310300
2008-03-25,86.833900
2008-03-26,86.551300
2008-03-27,86.458300
2008-03-28,86.636900
2008-03-31,86.688100
2008-04-01,87.027600
2008-04-02,86.888600
2008-04-03,86.642400
2008-04-04,86.510800
2008-04-07,86.603000
2008-04-08,86.736900
2008-04-09,86.576400
2008-04-10,86.513100
2008-04-11,86.502900
2008-04-14,86.349200
2008-04-15,86.470500
2008-04-16,85.903700
2008-04-17,86.107700
2008-04-18,86.527700
2008-04-21,86.297900
2008-04-22,85.927000
2008-04-23,86.384100
2008-04-24,86.715400
2008-04-25,86.833700
2008-04-28,86.763500
2008-04-29,86.873000
2008-04-30,86.890700
2008-05-01,87.134700
2008-05-02,87.231100
2008-05-05,87.063600
2008-05-06,86.847000
2008-05-07,87.342100
2008-05-08,87.457500
2008-05-09,87.252800
2008-05-12,87.040300
2008-05-13,87.133200
2008-05-14,87.365900
2008-05-15,87.182300
2008-05-16,86.785500
2008-05-19,86.822500
2008-05-20,86.562700
2008-05-21,86.159500
2008-05-22,86.322300
2008-05-23,86.192200
2008-05-26,86.190000
2008-05-27,86.445900
2008-05-28,86.495100
2008-05-29,86.561600
2008-05-30,86.550400
2008-06-02,86.632100
2008-06-03,86.835900
2008-06-04,87.099900
2008-06-05,87.096800
2008-06-06,86.802800
2008-06-09,86.909600
2008-06-10,87.470500
2008-06-11,87.205900
2008-06-12,87.618700
2008-06-13,87.762200
2008-06-16,87.391100
2008-06-17,87.210300
2008-06-18,87.187200
2008-06-19,87.081500
2008-06-20,86.903600
2008-06-23,87.216300
2008-06-24,86.966600
2008-06-25,87.053500
2008-06-26,86.679300
2008-06-27,86.643000
2008-06-30,86.762100
2008-07-01,86.844700
2008-07-02,86.478200
2008-07-03,86.884300
2008-07-04,86.878100
2008-07-07,86.961700
2008-07-08,86.977800
2008-07-09,86.533500
2008-07-10,86.512200
2008-07-11,86.221000
2008-07-14,86.107900
2008-07-15,85.873100
2008-07-16,85.928500
2008-07-17,85.938700
2008-07-18,86.073500
2008-07-21,86.015100
2008-07-22,86.190900
2008-07-23,86.266400
2008-07-24,86.401700
2008-07-25,86.391600
2008-07-28,86.466600
2008-07-29,86.817500
2008-07-30,86.816700
2008-07-31,86.856700
2008-08-01,86.825700
2008-08-04,87.061100
2008-08-05,87.328100
