date,value
2019-01-02,6.879500
2019-01-03,6.882300
2019-01-04,6.865500
2019-01-07,6.846400
2019-01-08,6.854600
2019-01-09,6.812500
2019-01-10,6.793300
2019-01-11,6.760800
2019-01-14,6.763000
2019-01-15,6.773700
2019-01-16,6.762000
2019-01-17,6.778000
2019-01-18,6.802700
2019-01-21,6.800900
2019-01-22,6.816200
2019-01-23,6.793100
2019-01-24,6.795200
2019-01-25,6.753100
2019-01-28,6.755000
2019-01-29,6.747400
2019-01-30,6.712100
2019-01-31,6.709900
2019-02-01,6.756900
2019-02-04,6.778200
2019-02-05,6.762600
2019-02-06,6.779200
2019-02-07,6.784800
2019-02-08,6.785000
2019-02-11,6.801500
2019-02-12,6.773700
2019-02-13,6.783600
2019-02-14,6.780300
2019-02-15,6.770400
2019-02-18,6.773700
2019-02-19,6.745800
2019-02-20,6.718900
2019-02-21,6.726500
2019-02-22,6.703900
2019-02-25,6.683400
2019-02-26,6.686500
2019-02-27,6.681800
2019-02-28,6.703400
2019-03-01,6.713400
2019-03-04,6.707200
2019-03-05,6.705400
2019-03-06,6.716500
2019-03-07,6.734300
2019-03-08,6.730700
2019-03-11,6.732300
2019-03-12,6.706800
2019-03-13,6.701300
2019-03-14,6.721600
2019-03-15,6.713600
2019-03-18,6.720900
2019-03-19,6.717700
2019-03-20,6.687700
2019-03-21,6.707200
2019-03-22,6.723500
2019-03-25,6.717000
2019-03-26,6.723400
2019-03-27,6.738300
2019-03-28,6.739600
2019-03-29,6.723300
2019-04-01,6.719800
2019-04-02,6.725700
2019-04-03,6.715200
2019-04-04,6.717000
2019-04-05,6.710900
2019-04-08,6.717300
2019-04-09,6.719100
2019-04-10,6.718900
2019-04-11,6.729000
2019-04-12,6.709700
2019-04-15,6.707000
2019-04-16,6.712600
2019-04-17,6.676900
2019-04-18,6.707600
2019-04-19,6.702000
2019-04-22,6.712500
2019-04-23,6.729200
2019-04-24,6.734600
2019-04-25,6.750500
2019-04-26,6.739000
2019-04-29,6.738800
2019-04-30,6.737900
2019-05-01,6.733100
2019-05-02,6.747400
2019-05-03,6.733800
2019-05-06,6.773400
2019-05-07,6.794700
2019-05-08,6.807900
2019-05-09,6.836900
2019-05-10,6.844700
2019-05-13,6.912000
2019-05-14,6.904600
2019-05-15,6.903000
2019-05-16,6.930000
2019-05-17,6.948500
2019-05-20,6.939900
2019-05-21,6.933400
2019-05-22,6.935800
2019-05-23,6.927000
2019-05-24,6.917000
2019-05-27,6.908200
2019-05-28,6.921500
2019-05-29,6.933000
2019-05-30,6.929000
2019-05-31,6.936700
2019-06-03,6.921900
2019-06-04,6.920700
2019-06-05,6.929500
2019-06-06,6.928400
2019-06-07,6.944100
2019-06-10,6.943400
2019-06-11,6.925400
2019-06-12,6.928300
2019-06-13,6.929200
2019-06-14,6.929900
2019-06-17,6.931100
2019-06-18,6.902800
2019-06-19,6.894100
2019-06-20,6.861000
2019-06-21,6.864300
2019-06-24,6.875600
2019-06-25,6.884500
2019-06-26,6.888100
2019-06-27,6.870600
2019-06-28,6.868500
2019-07-01,6.857500
2019-07-02,6.887500
2019-07-03,6.885400
2019-07-04,6.874400
2019-07-05,6.895700
2019-07-08,6.889000
2019-07-09,6.895900
2019-07-10,6.872400
2019-07-11,6.876700
2019-07-12,6.878900
2019-07-15,6.873700
2019-07-16,6.881700
2019-07-17,6.878400
2019-07-18,6.873600
2019-07-19,6.883800
2019-07-22,6.884100
2019-07-23,6.884900
2019-07-24,6.876100
2019-07-25,6.873100
2019-07-26,6.882700
2019-07-29,6.893000
2019-07-30,6.889500
2019-07-31,6.909700
2019-08-01,6.954900
2019-08-02,6.976000
2019-08-05,7.098700
2019-08-06,7.053700
2019-08-07,7.083300
2019-08-08,7.077100
2019-08-09,7.098200
2019-08-12,7.103100
2019-08-13,7.011400
2019-08-14,7.053700
2019-08-15,7.049300
2019-08-16,7.044000
2019-08-19,7.075400
2019-08-20,7.071000
2019-08-21,7.067800
2019-08-22,7.089500
2019-08-23,7.135100
2019-08-26,7.167600
2019-08-27,7.167400
2019-08-28,7.170000
2019-08-29,7.143600
2019-08-30,7.161800
2019-09-02,7.194500
2019-09-03,7.178400
2019-09-04,7.146700
2019-09-05,7.138000
2019-09-06,7.106000
2019-09-09,7.116600
2019-09-10,7.109300
2019-09-11,7.108500
2019-09-12,7.068600
2019-09-13,7.046500
2019-09-16,7.062100
2019-09-17,7.086200
2019-09-18,7.083100
2019-09-19,7.102600
2019-09-20,7.121000
2019-09-23,7.110100
2019-09-24,7.106500
2019-09-25,7.127900
2019-09-26,7.124400
2019-09-27,7.138200
2019-09-30,7.141000
2019-10-01,7.146900
2019-10-02,7.147100
2019-10-03,7.128500
2019-10-04,7.112200
2019-10-07,7.134400
2019-10-08,7.164700
2019-10-09,7.138300
2019-10-10,7.104100
2019-10-11,7.088400
2019-10-14,7.070500
2019-10-15,7.083100
2019-10-16,7.101300
2019-10-17,7.081300
2019-10-18,7.072400
2019-10-21,7.069500
2019-10-22,7.077300
2019-10-23,7.061100
2019-10-24,7.072800
2019-10-25,7.051000
2019-10-28,7.064400
2019-10-29,7.065700
2019-10-30,7.044100
2019-10-31,7.046400
2019-11-01,7.041800
2019-11-04,7.032900
2019-11-05,7.002400
2019-11-06,7.011900
2019-11-07,6.971300
2019-11-08,6.988700
2019-11-11,7.007700
2019-11-12,7.024200
2019-11-13,7.030000
2019-11-14,7.018700
2019-11-15,7.006000
2019-11-18,7.025700
2019-11-19,7.027500
2019-11-20,7.039500
2019-11-21,7.032500
2019-11-22,7.042600
2019-11-25,7.031200
2019-11-26,7.012400
2019-11-27,7.016400
2019-11-28,7.031600
2019-11-29,7.032100
2019-12-02,7.043800
2019-12-03,7.068200
2019-12-04,7.052300
2019-12-05,7.041200
2019-12-06,7.024300
2019-12-09,7.036600
2019-12-10,7.027100
2019-12-11,7.027900
2019-12-12,6.945600
2019-12-13,7.005600
2019-12-16,6.991500
2019-12-17,6.998800
2019-12-18,7.002700
2019-12-19,6.999100
2019-12-20,7.001400
2019-12-23,7.007700
2019-12-24,7.003600
2019-12-26,6.991600
2019-12-27,6.991900
2019-12-30,6.985100
2019-12-31,6.961300
2020-01-02,6.959200
2020-01-03,6.966600
2020-01-06,6.969200
2020-01-07,6.942400
2020-01-08,6.936500
2020-01-09,6.924600
2020-01-10,6.913700
2020-01-13,6.882400
2020-01-14,6.889500
2020-01-15,6.891400
2020-01-16,6.876900
2020-01-17,6.866800
2020-01-20,6.866700
2020-01-21,6.909300
2020-01-22,6.909600
2020-01-23,6.929300
2020-01-24,6.930500
2020-01-27,6.985600
2020-01-28,6.965800
2020-01-29,6.969600
2020-01-30,6.982100
2020-01-31,7.001500
2020-02-03,7.014000
2020-02-04,6.992200
2020-02-05,6.975500
2020-02-06,6.978900
2020-02-07,7.006900
2020-02-10,6.984800
2020-02-11,6.970800
2020-02-12,6.974400
2020-02-13,6.989400
2020-02-14,6.993200
2020-02-17,6.985000
2020-02-18,7.007500
2020-02-19,7.013200
2020-02-20,7.045000
2020-02-21,7.035500
2020-02-24,7.036300
2020-02-25,7.027900
2020-02-26,7.021900
2020-02-27,7.010000
2020-02-28,6.978300
2020-03-02,6.962400
2020-03-03,6.949200
2020-03-04,6.923200
2020-03-05,6.941100
2020-03-06,6.932500
2020-03-09,6.953100
2020-03-10,6.963700
2020-03-11,6.968700
2020-03-12,7.027200
2020-03-13,7.021500
2020-03-16,7.012000
2020-03-17,7.031200
2020-03-18,7.075100
2020-03-19,7.157200
2020-03-20,7.128100
2020-03-23,7.117900
2020-03-24,7.085400
2020-03-25,7.127000
2020-03-26,7.080900
2020-03-27,7.088900
2020-03-30,7.114700
2020-03-31,7.093500
2020-04-01,7.122600
2020-04-02,7.092300
2020-04-03,7.111700
2020-04-06,7.107200
2020-04-07,7.068100
2020-04-08,7.069200
2020-04-09,7.060000
2020-04-10,7.044300
2020-04-13,7.054100
2020-04-14,7.046400
2020-04-15,7.071400
2020-04-16,7.088000
2020-04-17,7.078100
2020-04-20,7.091000
2020-04-21,7.103700
2020-04-22,7.101200
2020-04-23,7.094400
2020-04-24,7.090700
2020-04-27,7.092200
2020-04-28,7.088600
2020-04-29,7.073100
2020-04-30,7.080700
2020-05-01,7.135600
2020-05-04,7.130400
2020-05-05,7.121200
2020-05-06,7.130000
2020-05-07,7.093100
2020-05-08,7.093800
2020-05-11,7.107800
2020-05-12,7.108000
2020-05-13,7.111700
2020-05-14,7.110900
2020-05-15,7.134000
2020-05-18,7.118800
2020-05-19,7.117700
2020-05-20,7.107000
2020-05-21,7.133000
2020-05-22,7.149100
2020-05-25,7.147900
2020-05-26,7.146400
2020-05-27,7.176600
2020-05-28,7.170200
2020-05-29,7.133600
2020-06-01,7.126300
2020-06-02,7.106500
2020-06-03,7.118700
2020-06-04,7.108500
2020-06-05,7.070800
2020-06-08,7.057300
2020-06-09,7.078300
2020-06-10,7.054100
2020-06-11,7.080200
2020-06-12,7.075800
2020-06-15,7.072800
2020-06-16,7.082400
2020-06-17,7.076100
2020-06-18,7.082400
2020-06-19,7.074700
2020-06-22,7.057900
2020-06-23,7.060900
2020-06-24,7.081200
2020-06-25,7.081600
2020-06-26,7.087200
2020-06-29,7.076800
2020-06-30,7.070700
2020-07-01,7.067200
2020-07-02,7.067300
2020-07-03,7.068900
2020-07-06,7.013700
2020-07-07,7.023300
2020-07-08,6.998400
2020-07-09,6.997200
2020-07-10,7.010400
2020-07-13,7.004000
2020-07-14,7.011600
2020-07-15,6.981600
2020-07-16,6.995000
2020-07-17,6.990500
2020-07-20,6.986900
2020-07-21,6.973500
2020-07-22,7.017900
2020-07-23,7.011000
2020-07-24,7.015900
2020-07-27,6.999700
2020-07-28,7.005300
2020-07-29,6.996800
2020-07-30,7.002000
2020-07-31,6.990000
2020-08-03,6.982600
2020-08-04,6.973600
2020-08-05,6.944300
2020-08-06,6.943500
2020-08-07,6.967000
2020-08-10,6.960800
2020-08-11,6.942500
2020-08-12,6.932800
2020-08-13,6.949700
2020-08-14,6.940800
2020-08-17,6.932200
2020-08-18,6.905900
2020-08-19,6.924100
2020-08-20,6.907000
2020-08-21,6.921300
2020-08-24,6.912000
2020-08-25,6.904600
2020-08-26,6.880200
2020-08-27,6.888300
2020-08-28,6.859300
2020-08-31,6.847700
2020-09-01,6.837100
2020-09-02,6.833100
2020-09-03,6.847600
2020-09-04,6.836100
2020-09-07,6.833000
2020-09-08,6.853600
2020-09-09,6.831700
2020-09-10,6.845400
2020-09-11,6.832100
2020-09-14,6.808500
2020-09-15,6.780200
2020-09-16,6.745400
2020-09-17,6.753700
2020-09-18,6.779400
2020-09-21,6.792900
2020-09-22,6.784400
2020-09-23,6.825600
2020-09-24,6.827200
2020-09-25,6.823100
2020-09-28,6.811200
2020-09-29,6.816100
2020-09-30,6.784400
2020-10-01,6.748600
2020-10-02,6.752800
2020-10-05,6.720300
2020-10-06,6.748500
2020-10-07,6.733600
2020-10-08,6.739100
2020-10-09,6.690300
2020-10-12,6.742800
2020-10-13,6.738700
2020-10-14,6.713400
2020-10-15,6.712700
2020-10-16,6.696500
2020-10-19,6.679100
2020-10-20,6.664300
2020-10-21,6.642800
2020-10-22,6.672200
2020-10-23,6.666900
2020-10-26,6.700500
2020-10-27,6.715400
2020-10-28,6.728400
2020-10-29,6.709300
2020-10-30,6.696700
2020-11-02,6.688200
2020-11-03,6.681400
2020-11-04,6.621400
2020-11-05,6.606000
2020-11-06,6.593500
2020-11-09,6.616700
2020-11-10,6.598800
2020-11-11,6.618200
2020-11-12,6.617200
2020-11-13,6.594000
2020-11-16,6.572000
2020-11-17,6.547600
2020-11-18,6.562700
2020-11-19,6.578400
2020-11-20,6.551400
2020-11-23,6.582500
2020-11-24,6.574800
2020-11-25,6.563100
2020-11-26,6.569600
2020-11-27,6.575600
2020-11-30,6.584800
2020-12-01,6.551300
2020-12-02,6.543300
2020-12-03,6.536000
2020-12-04,6.517000
2020-12-07,6.519500
2020-12-08,6.520400
2020-12-09,6.528400
2020-12-10,6.536100
2020-12-11,6.539700
2020-12-14,6.529000
2020-12-15,6.517000
2020-12-16,6.512400
2020-12-17,6.516600
2020-12-18,6.519100
2020-12-21,6.535300
2020-12-22,6.540400
2020-12-23,6.532800
2020-12-24,6.519200
2020-12-25,6.519300
2020-12-28,6.532200
2020-12-29,6.517900
2020-12-30,6.506100
2020-12-31,6.502900
2021-01-01,6.505000
2021-01-04,6.455000
2021-01-05,6.436800
2021-01-06,6.449500
2021-01-07,6.471300
2021-01-08,6.465000
2021-01-11,6.479300
2021-01-12,6.442500
2021-01-13,6.467000
2021-01-14,6.464200
2021-01-15,6.484800
2021-01-18,6.495700
2021-01-19,6.481000
2021-01-20,6.462100
2021-01-21,6.465000
2021-01-22,6.497100
2021-01-25,6.487100
2021-01-26,6.472900
2021-01-27,6.497100
2021-01-28,6.475200
2021-01-29,6.452200
2021-02-01,6.475700
2021-02-02,6.457400
2021-02-03,6.457900
2021-02-04,6.472700
2021-02-05,6.457900
2021-02-08,6.441700
2021-02-09,6.418500
2021-02-10,6.428700
2021-02-11,6.423300
2021-02-12,6.420200
2021-02-15,6.406200
2021-02-16,6.425800
2021-02-17,6.435800
2021-02-18,6.460000
2021-02-19,6.459600
