date,value
1990-01-02,17.240000
1990-01-03,18.190000
1990-01-04,19.220000
1990-01-05,20.110000
1990-01-08,20.260000
1990-01-09,22.200000
1990-01-10,22.440000
1990-01-11,20.050000
1990-01-12,24.640000
1990-01-15,26.340000
1990-01-16,24.180000
1990-01-17,24.160000
1990-01-18,24.340000
1990-01-19,22.500000
1990-01-22,26.700000
1990-01-23,24.720000
1990-01-24,25.390000
1990-01-25,25.630000
1990-01-26,26.280000
1990-01-29,26.440000
1990-01-30,27.250000
1990-01-31,25.360000
1990-02-01,24.870000
1990-02-02,24.320000
1990-02-05,24.540000
1990-02-06,24.690000
1990-02-07,24.290000
1990-02-08,23.770000
1990-02-09,23.690000
1990-02-12,24.380000
1990-02-13,23.760000
1990-02-14,22.050000
1990-02-15,19.710000
1990-02-16,20.780000
1990-02-20,22.780000
1990-02-21,23.890000
1990-02-22,22.540000
1990-02-23,23.690000
1990-02-26,23.560000
1990-02-27,22.690000
1990-02-28,21.990000
1990-03-01,21.900000
1990-03-02,21.340000
1990-03-05,22.030000
1990-03-06,20.550000
1990-03-07,19.100000
1990-03-08,19.740000
1990-03-09,20.300000
1990-03-12,20.070000
1990-03-13,21.050000
1990-03-14,19.650000
1990-03-15,18.810000
1990-03-16,17.620000
1990-03-19,18.290000
1990-03-20,19.060000
1990-03-21,20.100000
1990-03-22,22.740000
1990-03-23,20.460000
1990-03-26,19.590000
1990-03-27,21.010000
1990-03-28,19.770000
1990-03-29,18.460000
1990-03-30,19.730000
1990-04-02,22.840000
1990-04-03,20.440000
1990-04-04,22.030000
1990-04-05,21.210000
1990-04-06,21.760000
1990-04-09,22.300000
1990-04-10,21.690000
1990-04-11,17.730000
1990-04-12,19.800000
1990-04-16,20.750000
1990-04-17,20.380000
1990-04-18,22.670000
1990-04-19,22.460000
1990-04-20,23.330000
1990-04-23,24.160000
1990-04-24,21.700000
1990-04-25,20.860000
1990-04-26,20.250000
1990-04-27,22.190000
1990-04-30,19.520000
1990-05-01,18.430000
1990-05-02,19.320000
1990-05-03,17.810000
1990-05-04,17.280000
1990-05-07,17.650000
1990-05-08,18.490000
1990-05-09,18.640000
1990-05-10,18.590000
1990-05-11,19.810000
1990-05-14,20.140000
1990-05-15,19.490000
1990-05-16,17.710000
1990-05-17,17.270000
1990-05-18,17.200000
1990-05-21,16.720000
1990-05-22,17.840000
1990-05-23,17.180000
1990-05-24,17.700000
1990-05-25,17.320000
1990-05-29,18.750000
1990-05-30,17.440000
1990-05-31,17.370000
1990-06-01,17.090000
1990-06-04,18.390000
1990-06-05,18.970000
1990-06-06,17.420000
1990-06-07,16.880000
1990-06-08,17.580000
1990-06-11,16.340000
1990-06-12,16.600000
1990-06-13,17.380000
1990-06-14,17.400000
